Marke Beschreibung;Artikelkategorie Beschreibung;Artikeltyp Beschreibung;Artikelnr.;Kred.- Artikelnr.;Farbsaison2;Beschreibung;Kreditorfarbcode;Kreditor Farbtext;Grösse;Lagerort Code;Filialendbestand;NOS Griffeinheit;Mindestbestellmenge;Aktueller Sollbestand;Datum erster Wareneingang;Letztes WE Datum;VK-Preis aktuell;September 2023;Absatz 1 Jahr;Absatz Schnitt Monat;Reichweite in Monaten;August 2023;Juli 2023;Juni 2023;Mai 2023;April 2023;März 2023;Februar 2023;Januar 2023;Dezember 2022;November 2022;Oktober 2022;September 2022
NARS;Maquillage Make-Up;Concealer;ARTI10247901;34101276101;9999;SOFT MATTE COMPLETE CONCEALER;002;VANILLA;KEINEGRÖßE;101;4;1;3;6;21.05.21;28.08.23;48.9;0;50;4.166666667;0.96;2;4;5;5;2;4;4;5;7;3;5;4
NARS;Maquillage Make-Up;Concealer;ARTI10247902;34101280101;9999;SOFT MATTE COMPLETE CONCEALER;006;CUSTARD;KEINEGRÖßE;101;8;1;3;9;04.06.21;03.05.23;48.9;0;32;2.666666667;3;1;2;0;1;1;5;1;1;6;3;6;5
NARS;Maquillage Make-Up;Concealer;ARTI10247904;34101278101;9999;SOFT MATTE COMPLETE CONCEALER;004;CANNELLE;KEINEGRÖßE;101;8;1;3;6;19.02.21;28.08.23;48.9;0;13;1.083333333;7.384615385;2;0;2;1;0;1;0;0;2;5;0;0
NARS;Maquillage Make-Up;Concealer;ARTI10251023;34101225101;9999;RADIANT CREAMY CONCEALER;017;CAFÉ CON LECHE;KEINEGRÖßE;101;4;1;3;3;12.04.21;21.07.23;47.9;0;27;2.25;1.777777778;2;1;0;6;3;2;1;4;1;1;6;0
NARS;Maquillage Make-Up;Concealer;ARTI10251025;34101226101;9999;RADIANT CREAMY CONCEALER;018;MARRON GLACÉ;KEINEGRÖßE;101;5;1;3;3;26.03.21;28.07.23;47.9;0;24;2;2.5;0;1;4;3;4;1;2;2;1;4;1;1
NARS;Maquillage Make-Up;Concealer;ARTI10251027;34101227101;9999;RADIANT CREAMY CONCEALER;019;TIRAMISU;KEINEGRÖßE;101;8;1;3;3;22.05.21;12.07.23;47.9;0;19;1.583333333;5.052631579;1;3;2;1;0;0;1;1;4;3;0;3
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10251028;34106600101;9999;NAT.RAD.LONGWEAR FDT;001;OSLO;KEINEGRÖßE;101;3;0;3;3;19.02.21;27.05.22;77.9;0;1;0.083333333;36;0;0;0;0;0;0;1;0;0;0;0;0
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10251029;34106604101;9999;NAT.RAD.LONGWEAR FDT;005;SALZBURG;KEINEGRÖßE;101;5;0;3;3;19.02.21;12.09.22;77.9;0;1;0.083333333;60;0;0;0;0;0;0;0;0;0;0;0;1
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10251030;34106615101;9999;NAT.RAD.LONGWEAR FDT;016;BARCELONA;KEINEGRÖßE;101;3;0;3;3;26.03.21;08.03.23;77.9;0;9;0.75;4;0;0;2;0;0;0;1;0;3;0;0;3
NARS;Maquillage Make-Up;Make-Up flüssig;ARTI10251031;34106623101;9999;NAT.RAD.LONGWEAR FDT;024;CARACAS;KEINEGRÖßE;101;3;0;3;3;12.04.21;18.11.22;77.9;0;3;0.25;12;0;0;0;0;1;0;0;0;0;2;0;0
